Season.ID.Tm,Season,Player,MP,Tm,EST,MVPIndex
1997 100 WSB,1997,Tim Legler,182,WSB,-1.970015462,0.000963402
1997 1000 UTA,1997,Shandon Anderson,1066,UTA,-2.053388172,0.005174122
1997 1002 CLE,1997,Reggie Geary,246,CLE,-1.669155749,0.001780552
1997 1005 TOR,1997,Walt Williams,2647,TOR,0.961888075,0.29480472
1997 1006 NYK,1997,Herb Williams,184,NYK,-1.766863248,0.001203119
1997 1023 HOU,1997,Emanual Davis,230,HOU,-1.423553849,0.00214915
1997 1024 PHO,1997,Horacio Llamas Grey,101,PHO,-1.812604178,0.000629729
1997 1026 NJN,1997,Evric Gray,42,NJN,-2.206855313,0.000173785
1997 103 BOS,1997,Todd Day,2277,BOS,-1.504863371,0.019551566
1997 1032 TOT,1997,Darvin Ham,318,TOT,-2.70469204,0.000784009
1997 1032 DEN,1997,Darvin Ham,313,DEN,-2.723130029,0.000757024
1997 1032 IND,1997,Darvin Ham,5,IND,-1.5504739,4.09E-05
1997 1035 CLE,1997,Shawnelle Scott,50,CLE,-1.771211969,0.000325459
1997 1036 DET,1997,Litterial Green,311,DET,-1.015106767,0.004443695
1997 1037 MIN,1997,Stojko Vrankovic,766,MIN,-3.251700849,0.001069137
1997 104 TOR,1997,Benoit Benjamin,44,TOR,-2.306406468,0.000164153
1997 1041 BOS,1997,Nate Driggers,132,BOS,-2.826231697,0.000286792
1997 1043 ORL,1997,Amal McCaskill,109,ORL,-2.002070322,0.000558065
1997 1049 MIN,1997,Shane Heal,236,MIN,-2.412023702,0.000788865
1997 105 MIA,1997,Dan Majerle,1264,MIA,2.490919084,0.681627224
1997 1051 MIN,1997,Dean Garrett,1665,MIN,0.162972032,0.080932962
1997 1059 POR,1997,Aleksandar Djordjevic,61,POR,-2.003728961,0.000311773
1997 1063 CLE,1997,Carl Thomas,77,CLE,-1.6799413,0.000551111
1997 1064 IND,1997,Brent Scott,55,IND,-1.785380736,0.000352769
1997 1065 DAL,1997,Erick Strickland,759,DAL,-2.217255735,0.003106751
1997 1068 DAL,1997,Greg Dreiling,389,DAL,-2.727033268,0.000937026
1997 107 DEN,1997,Dale Ellis,2940,DEN,-1.195294201,0.034831029
1997 1070 TOT,1997,Devin Gray,49,TOT,-1.981804264,0.000256217
1997 1070 SAC,1997,Devin Gray,25,SAC,-1.927463537,0.000138323
1997 1070 SAS,1997,Devin Gray,24,SAS,-2.038409189,0.000118319
1997 1073 TOR,1997,Reggie Slater,406,TOR,-2.863121977,0.000848899
1997 1074 HOU,1997,Matt Maloney,2386,HOU,-0.30273647,0.071490876
1997 1077 GSW,1997,Ray Owes,592,GSW,-3.206938899,0.000865657
1997 1080 ATL,1997,Henry James,945,ATL,-2.124650195,0.004259163
1997 1086 HOU,1997,Joe Stephens,9,HOU,-1.539564131,7.45E-05
1997 1089 SAC,1997,Kevin Salvadori,154,SAC,-2.490325776,0.000474508
1997 109 TOT,1997,Robert Horry,1395,TOT,0.859083021,0.139657075
1997 109 PHO,1997,Robert Horry,719,PHO,0.777629934,0.066149963
1997 109 LAL,1997,Robert Horry,676,LAL,0.945717295,0.074036651
1997 1093 TOT,1997,Gaylon Nickerson,42,TOT,-2.000933176,0.000215289
1997 1093 SAS,1997,Gaylon Nickerson,36,SAS,-2.060136649,0.000173514
1997 1093 WSB,1997,Gaylon Nickerson,6,WSB,-1.645712341,4.45E-05
1997 1096 ATL,1997,Ivano Newbill,850,ATL,-2.326112005,0.003106813
1997 1099 CHI,1997,Matt Steigenga,12,CHI,-1.138240588,0.000150856
1997 1109 MIA,1997,James Scott,32,MIA,-1.323270528,0.000331877
1997 111 DEN,1997,LaPhonso Ellis,2002,DEN,0.049207972,0.08646802
1997 1110 MIA,1997,Mark Strickland,153,MIA,-2.254562875,0.000602428
1997 1112 WSB,1997,Ben Wallace,197,WSB,-2.464797717,0.000623332
1997 1114 WSB,1997,Jaren Jackson,1133,WSB,-1.424752479,0.010573714
1997 1118 SAS,1997,Tim Kempton,59,SAS,-2.693312675,0.000147193
1997 112 POR,1997,Dontonio Wingfield,569,POR,-1.325332148,0.005888548
1997 1120 TOT,1997,Elmer Bennett,75,TOT,-2.233832693,0.000301744
1997 1120 HOU,1997,Elmer Bennett,16,HOU,-1.7116699,0.0001108
1997 1120 DEN,1997,Elmer Bennett,59,DEN,-2.375436162,0.000204866
1997 1121 PHO,1997,Dexter Boney,48,PHO,-1.763799543,0.000314859
1997 1122 SAS,1997,Dominique Wilkins,1945,SAS,-1.401387217,0.018598124
1997 1125 SEA,1997,Larry Stewart,982,SEA,-1.463144242,0.008805844
1997 1126 TOR,1997,Donald Whiteside,259,TOR,-2.905869473,0.000517989
1997 1128 TOT,1997,Stephen Howard,418,TOT,-1.134952481,0.005272828
1997 1128 SAS,1997,Stephen Howard,69,SAS,-2.010586084,0.000350155
1997 1128 UTA,1997,Stephen Howard,349,UTA,-0.961832943,0.005270651
1997 1129 TOT,1997,Ruben Nembhard,113,TOT,-1.182554774,0.001356595
1997 1129 UTA,1997,Ruben Nembhard,94,UTA,-1.120488287,0.001203723
1997 1129 POR,1997,Ruben Nembhard,19,POR,-1.489620553,0.000165751
1997 1131 MIL,1997,Jimmy Carruth,21,MIL,-2.021858265,0.000105327
1997 1134 MIA,1997,Isaac Austin,1881,MIA,-0.58395286,0.042075927
1997 1136 BOS,1997,Brett Szabo,662,BOS,-3.88789202,0.000476739
1997 1137 NYK,1997,Chris Jent,10,NYK,-1.533409304,8.34E-05
1997 1138 BOS,1997,Michael Hawkins,326,BOS,-2.869191644,0.000677339
1997 116 MIL,1997,David Wood,240,MIL,-2.053994072,0.001164172
1997 120 ATL,1997,Steve Smith,2818,ATL,1.095155276,0.360333578
1997 121 NYK,1997,Patrick Ewing,2887,NYK,2.241908449,1.206105388
1997 122 DAL,1997,Fred Roberts,40,DAL,-2.426994159,0.00013164
1997 123 TOT,1997,Robert Pack,1782,TOT,-1.729813758,0.012109653
1997 123 NJN,1997,Robert Pack,1185,NJN,-1.61024537,0.009118928
1997 123 DAL,1997,Robert Pack,597,DAL,-1.967147993,0.003169608
1997 124 CHH,1997,Vlade Divac,2840,CHH,2.680322164,1.858372061
1997 129 BOS,1997,Dino Radja,874,BOS,-1.86537791,0.005158317
1997 133 BOS,1997,David Wesley,2991,BOS,0.79310128,0.279631703
1997 134 PHO,1997,Kevin Johnson,2658,PHO,2.933327209,2.249421934
1997 136 MIA,1997,P.J. Brown,2592,MIA,1.367127954,0.439245757
1997 1361 PHI,1997,Mark Bradtke,251,PHI,-3.041696188,0.000435853
1997 1365 NJN,1997,Xavier McDaniel,1170,NJN,-2.301758312,0.004386138
1997 137 SAS,1997,Vernon Maxwell,2068,SAS,-2.407887795,0.0069424
1997 1380 TOT,1997,Lloyd Daniels,310,TOT,-1.740667164,0.002082974
1997 1380 SAC,1997,Lloyd Daniels,28,SAC,-1.85584254,0.000166902
1997 1380 NJN,1997,Lloyd Daniels,282,NJN,-1.729231311,0.001917504
1997 1381 TOR,1997,John Long,370,TOR,-3.61108371,0.000355358
1997 140 TOT,1997,Donald Royal,858,TOT,-2.8678661,0.001785149
1997 140 ORL,1997,Donald Royal,29,ORL,-1.831402974,0.000177313
1997 140 GSW,1997,Donald Royal,509,GSW,-3.089539666,0.000840955
1997 140 CHH,1997,Donald Royal,320,CHH,-2.609196056,0.000871323
1997 1425 TOT,1997,Aaron Williams,563,TOT,-2.564121655,0.001606563
1997 1425 DEN,1997,Aaron Williams,10,DEN,-1.93907369,5.47E-05
1997 1425 VAN,1997,Aaron Williams,553,VAN,-2.575424511,0.001559585
1997 1429 TOR,1997,Jimmy Oliver,43,TOR,-2.248222426,0.00017043
1997 143 LAC,1997,Terry Dehere,1053,LAC,-2.733206576,0.002520241
1997 1432 TOT,1997,Joe Courtney,100,TOT,-2.482419152,0.000310666
1997 1432 PHI,1997,Joe Courtney,52,PHI,-2.518506129,0.000155595
1997 1432 SAS,1997,Joe Courtney,48,SAS,-2.443324927,0.000155308
1997 145 WSB,1997,Tracy Murray,1814,WSB,-0.53289754,0.042788751
1997 146 CHI,1997,Jud Buechler,703,CHI,-0.237665632,0.02253734
1997 147 IND,1997,Jalen Rose,1188,IND,0.053925008,0.051562734
1997 1472 CHH,1997,Tom Chambers,83,CHH,-2.599998087,0.000228172
1997 1474 LAL,1997,Larry Krystkowiak,11,LAL,-1.365359228,0.000109197
1997 1477 MIA,1997,Bruce Bowen,1,MIA,-1.395738517,9.62E-06
1997 1478 DAL,1997,Stevin Smith,60,DAL,-2.322286387,0.000220179
1997 1479 PHO,1997,Mike Brown,83,PHO,-1.621256101,0.000631438
1997 15 LAC,1997,Eric Piatkowski,747,LAC,-0.936268237,0.011585174
1997 154 TOT,1997,Adrian Caldwell,569,TOT,-2.789886892,0.001283876
1997 154 NJN,1997,Adrian Caldwell,204,NJN,-2.363789445,0.000716982
1997 154 PHI,1997,Adrian Caldwell,365,PHI,-3.028034506,0.000642881
1997 156 UTA,1997,Antoine Carr,1460,UTA,-1.120907633,0.018687979
1997 157 DAL,1997,Derek Harper,2210,DAL,-1.000408052,0.032063666
1997 164 NYK,1997,Chris Childs,2076,NYK,0.649272233,0.167184479
1997 165 HOU,1997,Hakeem Olajuwon,2852,HOU,2.668537562,1.843934358
1997 166 CHI,1997,Ron Harper,1740,CHI,2.80652928,1.294693908
1997 168 CLE,1997,Chris Mills,3167,CLE,1.742715204,0.791261584
1997 17 HOU,1997,Clyde Drexler,2271,HOU,3.490359258,3.362728679
1997 170 TOT,1997,Joe Kleine,848,TOT,-2.388126324,0.002905902
1997 170 PHO,1997,Joe Kleine,365,PHO,-2.330196045,0.001328447
1997 170 LAL,1997,Joe Kleine,30,LAL,-1.587214464,0.000236455
1997 170 NJN,1997,Joe Kleine,453,NJN,-2.48784356,0.0013994
1997 173 MIA,1997,Keith Askins,1773,MIA,0.222013558,0.091632705
1997 175 BOS,1997,Alton Lister,516,BOS,-3.903888862,0.000365466
1997 176 SEA,1997,Antonio Harvey,26,SEA,-1.310318098,0.000273306
1997 177 CHH,1997,Muggsy Bogues,1880,CHH,0.295820301,0.104902633
1997 178 SAC,1997,Olden Polynice,2893,SAC,-1.385987721,0.028109456
1997 179 DEN,1997,Bryant Stith,1788,DEN,-0.30195899,0.053616516
1997 180 MIA,1997,John Crotty,659,MIA,-1.378913714,0.006450361
1997 181 TOT,1997,Kenny Smith,765,TOT,-3.168386461,0.001164395
1997 181 DET,1997,Kenny Smith,64,DET,-1.574317886,0.000511248
1997 181 ORL,1997,Kenny Smith,47,ORL,-1.936401894,0.000257642
1997 181 DEN,1997,Kenny Smith,654,DEN,-3.412918056,0.000771894
1997 182 SAC,1997,Billy Owens,1995,SAC,-0.75723499,0.037269942
1997 183 CHI,1997,Bison Dele,138,CHI,-0.891849402,0.002241388
1997 184 CLE,1997,Bobby Phills,2375,CLE,1.126429516,0.31368901
1997 185 WSB,1997,Chris Webber,2806,WSB,4.539632207,11.36446241
1997 187 SEA,1997,Terry Cummings,828,SEA,-0.809344646,0.014652757
1997 190 SAC,1997,Duane Causwell,581,SAC,-2.094757967,0.002701283
1997 192 ORL,1997,Dennis Scott,2166,ORL,-0.278009907,0.066588344
1997 193 CHH,1997,Anthony Mason,3143,CHH,2.676798137,2.049266077
1997 195 VAN,1997,Lee Mayberry,1952,VAN,-2.492701205,0.005999698
1997 197 TOT,1997,Scott Burrell,939,TOT,-1.852808047,0.005614867
1997 197 CHH,1997,Scott Burrell,482,CHH,-1.745042461,0.003223986
1997 197 GSW,1997,Scott Burrell,457,GSW,-1.966468906,0.002428031
1997 198 CLE,1997,Danny Ferry,2633,CLE,0.139924517,0.124958515
1997 199 TOT,1997,Reggie Williams,200,TOT,-1.704130326,0.001395898
