Player,Season,Tm,SeasonPlayerBorn,MP,EstAdjTOV,TOV.,TOV100,ATRatio,PPR
Zaid Abdul-Aziz,1974,HOU,1974 Zaid Abdul-Aziz 1947,2459,194.6230315,18.85474608,3.580647411,0.852930913,-3.414248267
Kareem Abdul-Jabbar,1974,MIL,1974 Kareem Abdul-Jabbar 1948,3548,357.6175831,15.53901325,4.590245136,1.079365272,-2.826500838
Walt Hazzard,1974,SEA,1974 Mahdi Abdul-Rahman 1943,571,53.02270643,20.97228812,4.044691722,2.300901033,4.958078266
Don Adams,1974,DET,1974 Don Adams 1948,2298,159.0036496,16.07000557,3.118521179,0.886772099,-2.828705377
Rick Adelman,1974,CHI,1974 Rick Adelman 1947,618,46.69388664,18.66755731,3.454009182,1.199300466,-1.514652638
Lucius Allen,1974,MIL,1974 Lucius Allen 1948,2388,251.4696222,17.53587362,4.795698078,1.487257175,-0.089459335
Tiny Archibald,1974,KCO,1974 Tiny Archibald 1949,1272,163.7732903,21.8768879,5.82481071,1.62419647,1.066041116
Dennis Awtrey,1974,CHI,1974 Dennis Awtrey 1949,756,68.24167104,29.33842682,4.126480486,1.260227053,-1.442901813
Mike Bantom,1974,PHO,1974 Mike Bantom 1952,1982,171.9518514,16.33480093,3.799565094,0.947939779,-3.1929962
Dick Barnett,1974,NYK,1974 Dick Barnett 1937,58,2.916109961,9.644461424,2.331722108,2.05753558,1.868775928
Jim Barnett,1974,GSW,1974 Jim Barnett 1945,1689,148.6758865,14.82140683,3.879933168,1.405742416,-0.553141102
Rick Barry,1974,GSW,1974 Rick Barry 1945,2918,330.2725839,14.48289181,4.988851701,1.465456182,-0.260655149
Butch Beard,1974,GSW,1974 Butch Beard 1948,2134,181.6040702,20.143224,3.75097803,1.651945354,0.862039823
Ron Behagen,1974,KCO,1974 Ron Behagen 1951,2059,212.0266031,18.72519356,4.658647629,0.631996165,-5.95887663
Dennis Bell,1974,NYK,1974 Dennis Bell 1952,4,0.063726545,5.990876612,0.73885849,0,-1.59316362
Walt Bellamy,1974,ATL,1974 Walt Bellamy 1940,2440,220.9080378,18.55702577,3.922140695,0.855559634,-3.889673678
Henry Bibby,1974,NYK,1974 Henry Bibby 1950,986,85.64751892,14.53210708,4.02845725,1.062494292,-2.533554996
Dave Bing,1974,DET,1974 Dave Bing 1944,3124,320.8890663,17.34902105,4.629515302,1.729569681,1.572052935
John Block,1974,KCO,1974 John Block 1945,1777,158.17335,17.91696398,4.026908284,0.594284688,-5.374602324
Tom Boerwinkle,1974,CHI,1974 Tom Boerwinkle 1946,602,55.22618172,27.52690663,4.193729983,1.702091238,1.235960955
Freddie Boyd,1974,PHI,1974 Freddie Boyd 1951,1818,156.8720469,16.43203521,3.824410176,1.587280876,0.502087631
Steve Bracey,1974,ATL,1974 Steve Bracey 1951,1463,123.9958105,18.06897988,3.671674409,1.862966168,2.050867361
Bill Bradley,1974,NYK,1974 Bill Bradley 1944,2813,178.7631618,13.10346768,2.947197112,1.353746474,-0.619617081
Jim Brewer,1974,CLE,1974 Jim Brewer 1952,1862,149.7033562,19.91203851,3.707168859,0.995301667,-2.705156977
Bill Bridges,1974,LAL,1974 Bill Bridges 1940,1812,138.5094173,19.13987437,3.284801825,1.068519404,-2.1988273
John Brisker,1974,SEA,1974 John Brisker 1948,717,59.63429857,11.93558944,3.622735297,0.939056908,-3.110315933
Allan Bristow,1974,PHI,1974 Allan Bristow 1952,643,73.0526934,19.84411999,5.035447131,1.259364929,-1.822606542
Fred Brown,1974,SEA,1974 Fred Brown 1949,2501,202.9941142,13.28118185,3.535325428,2.039467999,2.919067804
John Brown,1974,ATL,1974 John Brown 1952,1715,173.7429467,19.27857556,4.388787321,0.656141744,-5.699297185
Corky Calhoun,1974,PHO,1974 Corky Calhoun 1951,2207,111.9449437,14.93186682,2.221431021,1.205949957,-0.994333652
Larry Cannon,1974,PHI,1974 Larry Cannon 1948,335,34.20563106,19.71214906,4.5254897,1.520217531,0.13762257
